review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,review_advice,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,review_pros_cleaned,summary_cleaned,sentiment_polarity,sentiment_label
1,2025-06-03T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,3,0,Amazon,Amazon Fulfillment Center,,,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,"not interactive 
can leave or take off whenever as long as you have time 
easy work","inhumane 
draining physically &amp; mentally",0,0,0,interactive leave take whenever long time easy work,amazon,0.0,neutral
2,2025-05-29T00:00:00.000Z,0,0,1,CONTRACT,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,4,3,Good,Amazon Fulfillment Center,,,"Brampton, ON",Warehouse Associate,Remove all attitude manager from warehouse,good and easy work enviorment,"Sticks rules and completing targets any how, otherwise get warning",5,3,5,good easy work enviorment,good,0.7,positive
3,2025-05-28T00:00:00.000Z,0,0,1,REGULAR,"Current employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,Good experience,Amazon Fulfillment Center,,,"Bolton, ON",Warehouse Associate,,"help to grow , good pay ,","limited opportunities for advancement,No clear path for promotion",5,5,5,help grow good pay,good experience,0.7,positive
4,2025-05-26T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,POSITIVE,APPROVE,POSITIVE,2,2,3,2,Dhdh,Amazon Fulfillment Center,,,"Swedesboro, NJ",Employee,,"Plenty of work
Meet new people","Tough on the body
Labor intensive",2,2,3,plenty work meet new people,dhdh,0.0,neutral
5,2025-05-23T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,4,0,Good Pay rate,Amazon Fulfillment Center,,,"Whitby, ON",Fulfillment Associate,,"Good Holiday pay 
Additional benefits for permanent employees",Not hiring permanent employees directly,0,0,0,good holiday pay additional benefits permanent employees,good pay rate,0.7,positive
6,2025-05-18T00:00:00.000Z,0,0,2,REGULAR,Former employees,False,False,,,,3,3,3,3,worst American sweat shop,Amazon Fulfillment Center,,,"Kenosha, WI",Warehouse Associate,,"Nice people, Great pay and benefits.",management does not care about its employees. hours are way to long.,4,2,3,nice people great pay benefits,worst american sweat shop,-0.5,negative
7,2025-05-17T00:00:00.000Z,0,0,4,REGULAR,Current employees,False,False,NEGATIVE,NO_OPINION,NEGATIVE,4,4,4,3,warehouse,Amazon Fulfillment Center,,,"Oklahoma City, OK",Associate,should have physical strength,"learn lift trucks, pallet jack, flex schedule/ Shifts","fast paced working environment, weight lifting",5,5,4,learn lift trucks pallet jack flex schedule shifts,warehouse,0.0,neutral
8,2025-05-15T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,2,4,2,1,less than ideal,Amazon Fulfillment Center,,,,,no,decent work that wasnt too miserable,people in charge wasnt very good,3,2,4,decent work wasnt miserable,less ideal,0.3666666666666667,positive
9,2025-05-14T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,,,,0,0,3,0,Amazon,Amazon Fulfillment Center,,,"Clarksville, TN",Fulfillment Associate,Get better,"Good pay, not too long hours",Management absolutely is terrible at communicating,4,0,3,good pay long hours,amazon,0.0,neutral
10,2025-05-14T00:00:00.000Z,0,0,1,,"Former employee, less than 1 year",False,False,,,,0,0,2,0,Keep Going keep trying,Amazon Fulfillment Center,,,"Appleton, WI",Warehouse Worker,,Workout and regularly routine habit,"More work life,  less sleep .",0,0,0,workout regularly routine habit,keep going keep trying,0.0,neutral
11,2025-05-13T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,5,5,5,5,Amazon Fulfillment Center BDL2,Amazon Fulfillment Center,,,"Windsor, CT",Picker/Packer,Appreciation for employees,"Tuition reimbursement 
Schedule flexibility 
Benefits
Salary
Overtime opportunities","Standing +10 hours
Noise
Safety hazards 
Overworking
Get write ups for not meeting their rate expectations",5,4,4,tuition reimbursement schedule flexibility benefits salary overtime opportunities,amazon fulfillment center bdl2,-0.1,neutral
12,2025-05-07T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,3,0,pro/cons,Amazon Fulfillment Center,,,"Sparrows Point, MD",WHSS,,The benefits are great and start immediately,The workplace culture is bad,0,0,0,benefits great start immediately,procons,0.0,neutral
13,2025-05-04T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,5,0,warehouse associate,Amazon Fulfillment Center,,,"Ajax, ON",Warehouse Associate,,"good pay
stress-free
hard working","night-shift
overtime
no cons at all",0,0,0,good pay stressfree hard working,warehouse associate,0.0,neutral
14,2025-05-04T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,,,,0,0,3,0,Not the worst,Amazon Fulfillment Center,,,"Louisville, TN",FC Associate I,,"4 day weeks, good benefits. OT usually available",Its a physical job so prepare to be tired.,0,0,0,4 day weeks good benefits ot usually available,worst,-1.0,negative
15,2025-04-27T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,,,POSITIVE,0,0,4,1,One full year of employment,Amazon Fulfillment Center,,,"Suffolk, VA",Shipping and Receiving,,A good reference for previous work.,No cons to my knowledge.,0,0,0,good reference previous work,one full year employment,0.35,positive
16,2025-04-24T00:00:00.000Z,0,0,1,REGULAR,"Former employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,2,3,worst experience ever,Amazon Fulfillment Center,,,"Hamilton, ON",Order Picker,"lose the hiring bias, you know what I mean",most of the people were great,"fired without notification, one day my badge just didnt work, wasting my time and my bus fare",3,1,3,people great,worst experience ever,-1.0,negative
17,2025-04-24T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,,5,0,5,0,Amazing expirience,Amazon Fulfillment Center,,,,Project Management Intern,,"Quality work
Lot to learn","No contract extenscion
Hard to find anything in Amazon again",4,0,5,quality work lot learn,amazing expirience,0.6000000000000001,positive
